sample	path	group
T145171	CGC/results/mkdup/T145171.bam	Fall
T145193	CGC/results/mkdup/T145193.bam	Fall
T145241	CGC/results/mkdup/T145241.bam	Fall
T145242	CGC/results/mkdup/T145242.bam	Fall
T145152	CGC/results/mkdup/T145152.bam	Fall
T145153	CGC/results/mkdup/T145153.bam	Fall
T145200	CGC/results/mkdup/T145200.bam	Fall
T145163	CGC/results/mkdup/T145163.bam	Fall
T144996	CGC/results/mkdup/T144996.bam	Spring
T144967	CGC/results/mkdup/T144967.bam	Spring
T145003	CGC/results/mkdup/T145003.bam	Spring
T144997	CGC/results/mkdup/T144997.bam	Spring
T144979	CGC/results/mkdup/T144979.bam	Spring
T144989	CGC/results/mkdup/T144989.bam	Spring
T144981	CGC/results/mkdup/T144981.bam	Spring
T144974	CGC/results/mkdup/T144974.bam	Spring
