NC-037122.1f5t9	NC_037122.1f5t9
NC-037123.1f10t14	NC_037123.1f10t14
NC-037124.1f8t16	NC_037124.1f8t16
NC-037125.1f20t24	NC_037125.1f20t24
NW-020134169.1	NW_020134169.1
NW-020134170.1	NW_020134170.1
NW-020134171.1	NW_020134171.1
NW-020134172.1	NW_020134172.1
NW-020134173.1	NW_020134173.1
NW-020134174.1	NW_020134174.1
NW-020134175.1	NW_020134175.1
NW-020134176.1	NW_020134176.1
NW-020134177.1	NW_020134177.1
NW-020134178.1	NW_020134178.1
NW-020134179.1	NW_020134179.1
NW-020134180.1	NW_020134180.1
NW-020134181.1	NW_020134181.1
NW-020134182.1	NW_020134182.1
NW-020134183.1	NW_020134183.1
NW-020134184.1	NW_020134184.1
NW-020134185.1	NW_020134185.1
NW-020134186.1	NW_020134186.1
NW-020134187.1	NW_020134187.1
NW-020134188.1	NW_020134188.1
NW-020134189.1	NW_020134189.1
NW-020134190.1	NW_020134190.1
NW-020134191.1	NW_020134191.1
NW-020134192.1	NW_020134192.1
NW-020134193.1	NW_020134193.1
NW-020134194.1	NW_020134194.1
NW-020134195.1	NW_020134195.1
NW-020134196.1	NW_020134196.1
NW-020134197.1	NW_020134197.1
NW-020134198.1	NW_020134198.1
NW-020134199.1	NW_020134199.1
NW-020134200.1	NW_020134200.1
NW-020134201.1	NW_020134201.1
NW-020134202.1	NW_020134202.1
NW-020134203.1	NW_020134203.1
NW-020134204.1	NW_020134204.1
NW-020134205.1	NW_020134205.1
NW-020134206.1	NW_020134206.1
NW-020134207.1	NW_020134207.1
NW-020134208.1	NW_020134208.1
NW-020134209.1	NW_020134209.1
NW-020134210.1	NW_020134210.1
NW-020134211.1	NW_020134211.1
NW-020134212.1	NW_020134212.1
NW-020134213.1	NW_020134213.1
NW-020134214.1	NW_020134214.1
NW-020134215.1	NW_020134215.1
NW-020134216.1	NW_020134216.1
NW-020134217.1	NW_020134217.1
NW-020134218.1	NW_020134218.1
