rank,topic
5,Reference Quality filtering: Mappability
5,Reference Quality filtering: Global Sequencing Depth filter
4,Reference Quality filtering: Autosomal and sex-linked scaffold identification
4,Reference Quality filtering: Excessive heterozygosity filter
4,Sample quality filtering: Error rates estimation
5,Sample quality filtering: Identification of related and duplicated samples
3,PCA analyses
1,NGSadmix
3,Runs of homozygosity (ROH) analysis
3,D-statistics
4,Site frequency spectrum
1,SFS-based analyses: FST estimation
1,SFS-based analyses: Estimation of heterozygosity
3,PSMC
2,Identity-by-state (IBS)
2,IBS-based analyses: Neighbor-joining (NJ) tree
2,IBS-based analyses: Estimation of Effective Migration Surfaces (EEMS)
