region	chr	midPos	Nsites
region	chr	midPos	Nsites
(4904,33774)(5000,34999)(5000,35000)	NC_037122.1f5t9	20000	28872	0.023515
(9879,38758)(10000,39999)(10000,40000)	NC_037122.1f5t9	25000	28881	0.025768
(14839,43753)(15000,44999)(15000,45000)	NC_037122.1f5t9	30000	28916	0.029915
(19259,48750)(20323,49999)(20000,50000)	NC_037122.1f5t9	35000	29493	0.030732
(23835,53737)(25000,54999)(25000,55000)	NC_037122.1f5t9	40000	29904	0.041561
(28795,58732)(30000,59999)(30000,60000)	NC_037122.1f5t9	45000	29939	0.051806
(33775,62579)(35000,64999)(35000,65000)	NC_037122.1f5t9	50000	28806	0.057359
(38759,67531)(40000,69999)(40000,70000)	NC_037122.1f5t9	55000	28774	0.071811
(43754,72531)(45000,74999)(45000,75000)	NC_037122.1f5t9	60000	28779	0.064470
(48751,75507)(50000,78619)(50000,80000)	NC_037122.1f5t9	65000	26758	0.068158
(53738,75689)(55000,81902)(55000,85000)	NC_037122.1f5t9	70000	21953	0.059459
(58733,79973)(60000,89999)(60000,90000)	NC_037122.1f5t9	75000	21242	0.049539
(62580,84946)(65000,94999)(65000,95000)	NC_037122.1f5t9	80000	22368	0.049478
(67532,89927)(70000,99999)(70000,100000)	NC_037122.1f5t9	85000	22397	0.039546
(72532,94868)(75000,104999)(75000,105000)	NC_037122.1f5t9	90000	22338	0.041930
(75508,97215)(81719,109149)(80000,110000)	NC_037122.1f5t9	95000	21709	0.041956
(75690,101930)(85057,114999)(85000,115000)	NC_037122.1f5t9	100000	26242	0.043713
(79974,106902)(90000,119999)(90000,120000)	NC_037122.1f5t9	105000	26930	0.048066
(84947,111902)(95000,124999)(95000,125000)	NC_037122.1f5t9	110000	26957	0.048682
(89928,116890)(100000,129999)(100000,130000)	NC_037122.1f5t9	115000	26964	0.046536
(94869,121887)(105000,134999)(105000,135000)	NC_037122.1f5t9	120000	27020	0.093264
(97216,126855)(110280,139999)(110000,140000)	NC_037122.1f5t9	125000	29641	0.093401
(101931,131852)(115000,144999)(115000,145000)	NC_037122.1f5t9	130000	29923	0.094736
(106903,136845)(120000,149999)(120000,150000)	NC_037122.1f5t9	135000	29944	0.091616
(111903,141778)(125000,154999)(125000,155000)	NC_037122.1f5t9	140000	29877	0.088433
(116891,146757)(130000,159999)(130000,160000)	NC_037122.1f5t9	145000	29868	0.086738
(121888,151751)(135000,164999)(135000,165000)	NC_037122.1f5t9	150000	29865	0.054184
(126856,155095)(140000,169999)(140000,170000)	NC_037122.1f5t9	155000	28241	0.041358
(131853,158910)(145000,174999)(145000,175000)	NC_037122.1f5t9	160000	27059	0.065171
(136846,163910)(150000,179999)(150000,180000)	NC_037122.1f5t9	165000	27066	0.069349
(141779,168910)(155000,184999)(155000,185000)	NC_037122.1f5t9	170000	27133	0.074121
(146758,173866)(160000,189999)(160000,190000)	NC_037122.1f5t9	175000	27110	0.072893
(151752,178854)(165000,194999)(165000,195000)	NC_037122.1f5t9	180000	27104	0.077672
(155096,183831)(170000,199999)(170000,200000)	NC_037122.1f5t9	185000	28737	0.086965
(158911,188831)(175000,204999)(175000,205000)	NC_037122.1f5t9	190000	29922	0.062504
(163911,193755)(180000,209999)(180000,210000)	NC_037122.1f5t9	195000	29846	0.056363
(168911,198755)(185000,214999)(185000,215000)	NC_037122.1f5t9	200000	29846	0.056771
(173867,203745)(190000,219999)(190000,220000)	NC_037122.1f5t9	205000	29880	0.062646
(178855,208734)(195000,224999)(195000,225000)	NC_037122.1f5t9	210000	29881	0.065299
(183832,213717)(200000,229999)(200000,230000)	NC_037122.1f5t9	215000	29887	0.068721
(188832,218600)(205000,234999)(205000,235000)	NC_037122.1f5t9	220000	29770	0.071774
(193756,223589)(210000,239999)(210000,240000)	NC_037122.1f5t9	225000	29835	0.073232
(198756,226775)(215000,244999)(215000,245000)	NC_037122.1f5t9	230000	28021	0.072372
(203746,231763)(220000,249999)(220000,250000)	NC_037122.1f5t9	235000	28019	0.073520
(208735,236759)(225000,254999)(225000,255000)	NC_037122.1f5t9	240000	28026	0.071769
(213718,239775)(230000,259999)(230000,260000)	NC_037122.1f5t9	245000	26059	0.069002
(218601,244585)(235000,264999)(235000,265000)	NC_037122.1f5t9	250000	25986	0.066504
(223590,249340)(240000,269999)(240000,270000)	NC_037122.1f5t9	255000	25752	0.062612
(226776,254286)(245000,274999)(245000,275000)	NC_037122.1f5t9	260000	27512	0.066854
(231764,257322)(250000,279999)(250000,280000)	NC_037122.1f5t9	265000	25560	0.068957
(236760,262320)(255000,284999)(255000,285000)	NC_037122.1f5t9	270000	25562	0.077800
(239776,267294)(260000,289999)(260000,290000)	NC_037122.1f5t9	275000	27520	0.069117
(244586,268803)(265000,291509)(265000,295000)	NC_037122.1f5t9	280000	24219	0.067986
(249341,268803)(270000,291509)(270000,300000)	NC_037122.1f5t9	285000	19464	0.069336
(254287,271894)(275000,304999)(275000,305000)	NC_037122.1f5t9	290000	17609	0.053112
(257323,276873)(280000,309999)(280000,310000)	NC_037122.1f5t9	295000	19552	0.050414
(262321,281864)(285000,314999)(285000,315000)	NC_037122.1f5t9	300000	19545	0.046635
(267295,285906)(290000,319999)(290000,320000)	NC_037122.1f5t9	305000	18613	0.046571
(268804,290868)(301875,324999)(295000,325000)	NC_037122.1f5t9	310000	22066	0.045489
(268804,295808)(301875,329999)(300000,330000)	NC_037122.1f5t9	315000	27006	0.044842
(271895,300741)(305000,334999)(305000,335000)	NC_037122.1f5t9	320000	28848	0.049798
(276874,305700)(310000,339999)(310000,340000)	NC_037122.1f5t9	325000	28828	0.048695
(281865,310554)(315000,344999)(315000,345000)	NC_037122.1f5t9	330000	28691	0.040854
(285907,315536)(320000,349999)(320000,350000)	NC_037122.1f5t9	335000	29631	0.039707
(290869,320500)(325000,354999)(325000,355000)	NC_037122.1f5t9	340000	29633	0.044776
(295809,325445)(330000,359999)(330000,360000)	NC_037122.1f5t9	345000	29638	0.042202
(300742,330442)(335000,364999)(335000,365000)	NC_037122.1f5t9	350000	29702	0.046787
(305701,335442)(340000,369999)(340000,370000)	NC_037122.1f5t9	355000	29743	0.050615
(310555,340442)(345000,374999)(345000,375000)	NC_037122.1f5t9	360000	29889	0.053394
(315537,342319)(350000,376877)(350000,380000)	NC_037122.1f5t9	365000	26784	0.053297
(320501,342319)(355000,376877)(355000,385000)	NC_037122.1f5t9	370000	21820	0.053789
(325446,342319)(360000,376877)(360000,390000)	NC_037122.1f5t9	375000	16875	0.060550
(330443,342587)(365000,394999)(365000,395000)	NC_037122.1f5t9	380000	12146	0.054282
(335443,346782)(370000,399222)(370000,400000)	NC_037122.1f5t9	385000	11341	0.053709
(340443,349642)(375000,404999)(375000,405000)	NC_037122.1f5t9	390000	9201	0.045452
(342320,354601)(394726,409999)(380000,410000)	NC_037122.1f5t9	395000	12283	0.054793
(342320,359599)(394726,414999)(385000,415000)	NC_037122.1f5t9	400000	17281	0.054204
(342320,364585)(394726,419999)(390000,420000)	NC_037122.1f5t9	405000	22267	0.048261
(342588,369572)(395000,424999)(395000,425000)	NC_037122.1f5t9	410000	26986	0.043051
(346783,374572)(402080,429999)(400000,430000)	NC_037122.1f5t9	415000	27791	0.039847
(349643,379572)(405000,434999)(405000,435000)	NC_037122.1f5t9	420000	29931	0.039802
(354602,384572)(410000,439999)(410000,440000)	NC_037122.1f5t9	425000	29972	0.044879
(359600,389572)(415000,444999)(415000,445000)	NC_037122.1f5t9	430000	29974	0.044262
(364586,394572)(420000,449999)(420000,450000)	NC_037122.1f5t9	435000	29988	0.045860
(369573,399560)(425000,454999)(425000,455000)	NC_037122.1f5t9	440000	29989	0.051241
(374573,404560)(430000,459999)(430000,460000)	NC_037122.1f5t9	445000	29989	0.050056
(379573,409560)(435000,464999)(435000,465000)	NC_037122.1f5t9	450000	29989	0.056844
(384573,414557)(440000,469999)(440000,470000)	NC_037122.1f5t9	455000	29986	0.051497
(389573,419557)(445000,474999)(445000,475000)	NC_037122.1f5t9	460000	29986	0.056266
(394573,424554)(450000,479999)(450000,480000)	NC_037122.1f5t9	465000	29983	0.055981
(399561,429548)(455000,484999)(455000,485000)	NC_037122.1f5t9	470000	29989	0.053086
(404561,434494)(460000,489999)(460000,490000)	NC_037122.1f5t9	475000	29935	0.040412
(409561,439487)(465000,494999)(465000,495000)	NC_037122.1f5t9	480000	29928	0.040502
(414558,442067)(470000,499999)(470000,500000)	NC_037122.1f5t9	485000	27511	0.042455
(419558,447045)(475000,504999)(475000,505000)	NC_037122.1f5t9	490000	27489	0.037882
(424555,451291)(480000,509850)(480000,510000)	NC_037122.1f5t9	495000	26738	0.035329
(429549,453218)(485000,514912)(485000,515000)	NC_037122.1f5t9	500000	23671	0.031269
(434495,455608)(490000,519125)(490000,520000)	NC_037122.1f5t9	505000	21115	0.042991
(439488,457428)(495000,524999)(495000,525000)	NC_037122.1f5t9	510000	17942	0.037502
(442068,462411)(500000,529999)(500000,530000)	NC_037122.1f5t9	515000	20345	0.029248
(447046,467395)(505000,534999)(505000,535000)	NC_037122.1f5t9	520000	20351	0.051461
