topic,mean_rank,rank_str
SFS-based analyses: Estimation of heterozygosity,2.4166666666666665,"1,1,1,2,2,2,2,3,3,4,4,4"
SFS-based analyses: FST estimation,2.5,"1,1,1,2,2,3,3,3,3,3,4,4"
PCA analyses,2.5833333333333335,"1,1,1,1,1,2,2,3,4,4,5,6"
NGSadmix,2.8333333333333335,"1,1,2,2,2,2,2,3,4,5,5,5"
Sample quality filtering: Error rates estimation,3.0833333333333335,"1,1,1,2,2,2,4,4,4,5,5,6"
Sample quality filtering: Identification of related and duplicated samples,3.0833333333333335,"1,1,1,1,2,2,4,4,4,5,6,6"
Runs of homozygosity (ROH) analysis,3.1666666666666665,"1,1,1,2,2,3,3,4,4,5,6,6"
D-statistics,3.3333333333333335,"1,1,2,3,3,3,3,4,4,5,5,6"
Reference Quality filtering: Autosomal and sex-linked scaffold identification,3.3333333333333335,"1,2,2,2,3,3,4,4,4,4,5,6"
Reference Quality filtering: Excessive heterozygosity filter,3.5,"1,2,2,3,3,3,4,4,4,5,5,6"
Identity-by-state (IBS),3.6666666666666665,"1,2,2,3,3,3,4,5,5,5,5,6"
Reference Quality filtering: Global Sequencing Depth filter,3.8333333333333335,"1,2,3,3,3,4,4,5,5,5,5,6"
Site frequency spectrum,3.8333333333333335,"3,3,3,3,4,4,4,4,4,4,5,5"
PSMC,3.916666666666667,"1,2,2,3,3,4,4,5,5,6,6,6"
IBS-based analyses: Neighbor-joining (NJ) tree,4,"1,1,2,2,2,5,5,6,6,6,6,6"
Reference Quality filtering: Mappability,4.083333333333333,"2,3,3,3,3,4,5,5,5,5,5,6"
IBS-based analyses: Estimation of Effective Migration Surfaces (EEMS),4.333333333333333,"1,1,1,2,5,6,6,6,6,6,6,6"
